Search,Search Count,Last Search Date
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 ",62,134035825741089077
"S250460",26,133984962160507548
"""\\Rnd2000-server\C0000_Project\CF000_프로젝트이력"" ",21,134032558755212800
"K3000",20,134018760289102139
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=2 ",18,134020240961829697
"""\\192.168.0.25\A0000_Company\AE000_품질경영\품질시스템 폴더\08. 공정 관리 (함경철, 이무연, 박동환)\8-3 System ( 매뉴얼 관리 )\제어"" ",17,134030814874090344
"INNOMAX",17,133993451607017285
"folder: ""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=4 ",16,134032556530706101
"VENTUS",15,133989990486744089
"KCTECH",13,133981670111634877
"folder: path:""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\"" depth:<=8 ",12,134035825708006410
"NEXTIN",12,134025579849184142
"ETAMAX",12,133990967188315584
"""\\192.168.0.25\A0000_Company\AE000_품질경영\품질시스템 폴더\08. 공정 관리 (함경철, 이무연, 박동환)\8-3 System ( 매뉴얼 관리 )\제어"" wis",11,134026596605508362
"folder: path:""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\"" depth:<=8 wisfac",11,134026596601397193
"S250462",11,133990852687898959
"S250367",11,133972961190664308
"SVN folder:",10,134026596605798228
"K3000 OZ",10,134018762864848181
"펌웨어 셋업",10,133991179003187358
"S250310",10,133972899730331609
"""\\Rnd2000-server\C0000_Project\CF000_프로젝트이력""",9,134023927991139327
"LSE SIF",9,133994564509236677
"S250520",9,133990178754344620
"CTS",9,133982385552377688
"LSE",9,133977334684957647
"S250294",9,133969271632538188
"ATI",8,133972998068533383
"S250452",8,133971204803427122
"S250297 COMIZOA",8,133941661900809592
"""C:\SVN"" TP",7,134026596606840232
"""C:\SVN""",7,134026596606191433
"WTR",7,133989172336955586
"S250494",7,133985042630534719
"STA",7,133982429534639692
"62a",7,133972913600061759
"LSE SIN",7,133970990946906685
"S250191",7,133965975183595838
"S250257",7,133965105591609858
"S250322",7,133959110263565781
"K3000 FOM",7,133947709268243245
"Scale_factor Speed 계산식_KDY.xlsx",7,133941661878176530
"path:""C:\Users\Doyun\Documents\카카오톡 받은 파일"" depth:<=5 ",6,134031530426599538
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 KCTECH",6,134031512144344318
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 wisfac",6,134026557997976583
"COMIZOA",6,134026533379848385
"NTH",6,133991940072921975
"신규건",6,133984969003908035
"0456",6,133981670202440621
"0076",6,133971242762152135
"0191",6,133966034055848123
"NEXTIN SCARA",6,133965810590819266
"""C:\SVN"" 1.1.62",6,133963363242455876
"S250416",6,133959261551351696
"S250321",6,133946136423202433
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 WISFAC",5,134026596595884333
"S250562",5,133994391902911125
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=2 K3000",5,133988322903887383
"config",5,133982431380204112
"S250076",5,133981576259975541
"0460",5,133981562363610308
"S250543",5,133981403395203462
"S_WTR",5,133977906208592353
"S240275",5,133970401813837605
