Filename,Run Count,Last Run Date
"X:\BD000_Soft_Control\BD999_인수인계자료\이요셉\제어 업무\0. 프로그램 및 TP 수정건\0. KCTECH 엔코더 배터리 관련\K3000 엔코더 배터리\K3000\__init__IOConfig__.gpl",1,134074046230147791
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250676 NNFC D_FLIP 2LP EFEM",1,134073855716145232
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250964 NEXTIN SCARA EFEM #20 2P RF",5,134073811295800983
"\\Rnd2000-server\C0000_Project\CF000_프로젝트이력\2025 프로젝트 회의록\S251068",2,134073805143371234
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250567 LSE SI #80 EFEM",7,134073212149008933
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S251272 LSE SIF #45 EFEM",1,134073206583499400
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250892 KCTECH - K3000 #28 [G6K]",1,134073205720042235
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S251012 KCTECH CMP(기타 모든 장비) #1 SCARA[G6K]",1,134073205692566777
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2021년\S210547, S210548 무진 - SC WTR2",2,134073203999809417
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2023년\S230614 LSE - SC #26",2,134073201977629116
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250716 LSE SC #35 EFEM",5,134073201529662698
"Y:\홍상우\2022년\S211140 CETC - D-WTR\S211140-1\Backup-2022-02-17 (20.37.25)\config",1,134073010610794908
"Y:\황준혁\김재겸\업무\사내\SW\Autodesk\SetupDWGTrueView2015_ENU_64bit\x64\dwgviewr\Support\NewTabPage\config",1,134073010577411194
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250892 KCTECH - K3000 #28",3,134072946614598623
"C:\Users\Doyun\Downloads\backup-251103(184201)0892 K3000 1QORDHKS",1,134072946299867170
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250471 KCTECH - K3000 O3",1,134072933045404472
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\KCTECH",2,134072932692585274
"C:\Users\Doyun\Downloads\S250059 KCTECH STA #33 WET ROBOT 펌웨어 셋업\참조 S240685 KCTECH - STA\S240685 KCTECH - STA #30 (WET_Dual)",1,134072387225586714
"C:\Users\Doyun\Downloads\S250059 KCTECH STA #33 WET ROBOT 펌웨어 셋업\참조 S240685 KCTECH - STA\S240685 KCTECH - STA #30 INDEX",1,134072387142321796
"C:\Users\Doyun\.vscode\extensions\github.copilot-1.388.0\dist\extension.js.map.off",1,134072332546861235
"C:\Users\Doyun\.vscode\extensions\ms-vscode.cpptools-1.29.0-win32-x64\dist\src\LanguageServer",1,134072245969449706
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2024년\S241184 KCTECH STBa EFEM #58,59",4,134069797702726869
"\\Rnd2000-server\C0000_Project\CF000_프로젝트이력\2025 프로젝트 회의록\S251012",1,134069656849471606
"\\Rnd2000-server\C0000_Project\CF000_프로젝트이력\2025 프로젝트 회의록\S250550",1,134069537040180994
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250550 NEXTIN SCARA EFEM #5 2P RF",2,134069536443608560
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250550 NEXTIN SCARA #7 2P RF",2,134069535818900127
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250550 NEXTIN SCARA EFEM 2P RF #8",2,134069535467614932
"C:\Users\Doyun\Documents\업무 관련\매뉴얼 모음\웹에서 엔코더 메뉴가 안보일때.txt",1,134069534926373151
"C:\Users\Doyun\Documents\업무 관련\매뉴얼 모음",1,134069534607803250
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\NEXTIN",6,134069517496454053
"\\Rnd2000-server\C0000_Project\CF000_프로젝트이력\2025 프로젝트 회의록\S250844",1,134069513663781981
"\\Rnd2000-server\C0000_Project\CF000_프로젝트이력\2025 프로젝트 회의록\S250732",1,134069513096455432
"\\Rnd2000-server\C0000_Project\CF000_프로젝트이력\2025 프로젝트 회의록\S250732-1",1,134069512900466345
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\# 자주검사 PDF 스캔본",2,134068911373449325
"C:\Users\Doyun\Documents\업무 관련\업무 관련 자료\NEXTIN MOXA NPort Setting Manual",1,134068798111397223
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2024년\S240943 AUROS",2,134068715880628287
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2022년\S220244 AUROS OL 100n Plus D_ETR",2,134068715846047224
"C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\backup-251027(141732) S250538 KCTECH CMP TR",2,134067996075561569
"C:\Users\Doyun\Documents\제어기 관리\펌웨어\S250538 KCTCH Sample 펌웨어 셋업",1,134067995710050657
"C:\Users\Doyun\Documents\제어기 관리\펌웨어\S250538 KCTCH Sample 펌웨어 셋업\S250538-2 KCTECH CMP TR ROBOT(C6621)",2,134067995518290161
"C:\AutoChecker\Inspec\update_log.ver",1,134067967258834662
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SC\INDEX\Remark.txt",2,134067795462300586
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SI\WTR2\Remark.txt",2,134067795415432433
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SI\WTR1\Remark.txt",1,134067795350470919
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SI\INDEX\Remark.txt",1,134067795280603813
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SC\WTR2\Remark.txt",1,134067795211468084
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SC\WTR1\Remark.txt",1,134067795156649120
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SIF&SIN\WTR2\Remark.txt",1,134067795096952150
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SIF&SIN\WTR1\Remark.txt",1,134067795025196613
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE\SIF&SIN\INDEX\Remark.txt",1,134067794960632191
"X:\BD000_Soft_Control\BD600-프로젝트 자료\LOG\Inspec\backupFile\LSE",4,134067794440486022
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\# 자주검사 PDF 스캔본\S250565 LSE SI INDEX #79.pdf",1,134067786588916289
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250565 LSE SI #79 EFEM",1,134067786261754345
"C:\Users\Doyun\Documents\카카오톡 받은 파일\LSE sc teaching.zip",1,134067781437001681
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2024년\S240479 이노맥스 INNOMAX - D-Flip 직교",3,134067753101413447
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2023년\S230228 이노맥스 - 7-Axis WTR",1,134067747827748287
"C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\backup-251104(111230) S250725 NEXUSONE INDEX EFEM",1,134067157622134578
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250725 NEXUSONE EFEM INDEX",1,134067157433784363
"C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\backup-251030(141644) 0550-5 NEXTIN",1,134067144769954841
"X:\BD000_Soft_Control\BD600-프로젝트 자료\2025년\S250565 LSE SI #79 EFEM\S250565 LSE SI #79 WTR2",1,134067131631746938
